"ஃபாக்ஸ்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%83%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%B8%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#5034>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/fox>		"fox"@en	
"ஃபிளாஷ்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%83%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AE%BE%E0%AE%B7%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#5226>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/flash>		"flash"@en	
"அகதிகள்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#5413>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/refugees>		"refugees"@en	
"அகராதி"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%B0%E0%AE%BE%E0%AE%A4%E0%AE%BF>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#2467>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/dictionary>		"dictionary"@en	
"அகல"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%B2>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#5622>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/wide>		"wide"@en	
"அகலம்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%B2%E0%AE%AE%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#3702>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/width>		"width"@en	
"அகன்ற"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%A9%E0%AF%8D%E0%AE%B1>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#4972>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/broad>		"broad"@en	
"அகாடமி"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%BE%E0%AE%9F%E0%AE%AE%E0%AE%BF>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#4679>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/academy>		"academy"@en	
"அகாதமி"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%AE%E0%AE%BF>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#1269>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/academy>		"academy"@en	
"அக்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#4557>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/oct>		"oct"@en	
"அக்கறை"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B1%E0%AF%88>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#4434>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/caring>		"caring"@en	
"அக்டோபர்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AF%8D%E0%AE%9F%E0%AF%8B%E0%AE%AA%E0%AE%B0%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#153>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/october>		"october"@en	
"அக்டோபர்"@ta	<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta/%E0%AE%85%E0%AE%95%E0%AF%8D%E0%AE%9F%E0%AF%8B%E0%AE%AA%E0%AE%B0%E0%AF%8D>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/ta-en.txt#154>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/oct>		"oct"@en	
